transaction_id,transaction_date,year,month,month_name,day_of_week,day_name,amount,description,merchant,transaction_type,category_name,category_type,is_essential,parent_category,account_name,account_type
1740,2025-10-01,2025,10,October  ,3,Wednesday,17.95,Purchase at Generic Merchant,Generic Merchant,debit,Home Maintenance,expense,f,Housing,Chase Credit Card,credit_card
12,2025-10-01,2025,10,October  ,3,Wednesday,5063.69,Monthly Salary Deposit,Employer Inc,credit,Salary,income,f,Salary,Primary Checking,checking
1742,2025-10-01,2025,10,October  ,3,Wednesday,18.35,Purchase at Generic Merchant,Generic Merchant,debit,Car Maintenance,expense,f,Transportation,Amex Credit Card,credit_card
1741,2025-10-01,2025,10,October  ,3,Wednesday,69.55,Purchase at Sushi Palace,Sushi Palace,debit,Restaurants,expense,f,Food,Chase Credit Card,credit_card
1739,2025-09-30,2025,9,September,2,Tuesday  ,94.37,Purchase at Generic Merchant,Generic Merchant,debit,Car Maintenance,expense,f,Transportation,Chase Credit Card,credit_card
1738,2025-09-30,2025,9,September,2,Tuesday  ,76.99,Purchase at Generic Merchant,Generic Merchant,debit,Personal Care,expense,f,Personal,Amex Credit Card,credit_card
1737,2025-09-30,2025,9,September,2,Tuesday  ,114.82,Purchase at Generic Merchant,Generic Merchant,debit,Shopping,expense,f,Shopping,Primary Checking,checking
1736,2025-09-29,2025,9,September,1,Monday   ,120.73,Purchase at Generic Merchant,Generic Merchant,debit,Shopping,expense,f,Shopping,Chase Credit Card,credit_card
1735,2025-09-29,2025,9,September,1,Monday   ,44.81,Purchase at Generic Merchant,Generic Merchant,debit,Entertainment,expense,f,Entertainment,Primary Checking,checking
1734,2025-09-29,2025,9,September,1,Monday   ,49.97,Purchase at Pizza Hut,Pizza Hut,debit,Restaurants,expense,f,Food,Amex Credit Card,credit_card
1730,2025-09-28,2025,9,September,0,Sunday   ,91.95,Purchase at PG&E,PG&E,debit,Utilities,expense,t,Housing,Primary Checking,checking
1733,2025-09-28,2025,9,September,0,Sunday   ,174.09,Purchase at Whole Foods,Whole Foods,debit,Groceries,expense,t,Food,Primary Checking,checking
1732,2025-09-28,2025,9,September,0,Sunday   ,11.30,Purchase at Local Cafe,Local Cafe,debit,Coffee Shops,expense,f,Food,Amex Credit Card,credit_card
1731,2025-09-28,2025,9,September,0,Sunday   ,52.25,Purchase at Pizza Hut,Pizza Hut,debit,Restaurants,expense,f,Food,Amex Credit Card,credit_card
1727,2025-09-27,2025,9,September,6,Saturday ,69.32,Purchase at Chevron,Chevron,debit,Gas/Fuel,expense,t,Transportation,Primary Checking,checking
1728,2025-09-27,2025,9,September,6,Saturday ,6.74,Purchase at Peets Coffee,Peets Coffee,debit,Coffee Shops,expense,f,Food,Amex Credit Card,credit_card
1729,2025-09-27,2025,9,September,6,Saturday ,11.90,Purchase at Starbucks,Starbucks,debit,Coffee Shops,expense,f,Food,Chase Credit Card,credit_card
1725,2025-09-26,2025,9,September,5,Friday   ,56.98,Purchase at Costco,Costco,debit,Groceries,expense,t,Food,Chase Credit Card,credit_card
1724,2025-09-26,2025,9,September,5,Friday   ,18.31,Purchase at Generic Merchant,Generic Merchant,debit,Personal Care,expense,f,Personal,Amex Credit Card,credit_card
1726,2025-09-26,2025,9,September,5,Friday   ,71.81,Purchase at Arco,Arco,debit,Gas/Fuel,expense,t,Transportation,Chase Credit Card,credit_card
1723,2025-09-25,2025,9,September,4,Thursday ,9.27,Purchase at Peets Coffee,Peets Coffee,debit,Coffee Shops,expense,f,Food,Amex Credit Card,credit_card
1719,2025-09-25,2025,9,September,4,Thursday ,152.95,Purchase at Internet Provider,Internet Provider,debit,Utilities,expense,t,Housing,Chase Credit Card,credit_card
1720,2025-09-25,2025,9,September,4,Thursday ,53.69,Purchase at Whole Foods,Whole Foods,debit,Groceries,expense,t,Food,Amex Credit Card,credit_card
1721,2025-09-25,2025,9,September,4,Thursday ,181.78,Purchase at Generic Merchant,Generic Merchant,debit,Shopping,expense,f,Shopping,Primary Checking,checking
1722,2025-09-25,2025,9,September,4,Thursday ,97.22,Purchase at Trader Joes,Trader Joes,debit,Groceries,expense,t,Food,Chase Credit Card,credit_card
1717,2025-09-24,2025,9,September,3,Wednesday,50.79,Purchase at Safeway,Safeway,debit,Groceries,expense,t,Food,Primary Checking,checking
1718,2025-09-24,2025,9,September,3,Wednesday,16.11,Purchase at Generic Merchant,Generic Merchant,debit,Entertainment,expense,f,Entertainment,Chase Credit Card,credit_card
1713,2025-09-23,2025,9,September,2,Tuesday  ,167.10,Purchase at Water District,Water District,debit,Utilities,expense,t,Housing,Chase Credit Card,credit_card
1716,2025-09-23,2025,9,September,2,Tuesday  ,46.00,Purchase at Generic Merchant,Generic Merchant,debit,Entertainment,expense,f,Entertainment,Amex Credit Card,credit_card
1715,2025-09-23,2025,9,September,2,Tuesday  ,28.96,Purchase at Generic Merchant,Generic Merchant,debit,Personal Care,expense,f,Personal,Primary Checking,checking
1714,2025-09-23,2025,9,September,2,Tuesday  ,46.79,Purchase at Olive Garden,Olive Garden,debit,Restaurants,expense,f,Food,Primary Checking,checking
1712,2025-09-23,2025,9,September,2,Tuesday  ,77.49,Purchase at Generic Merchant,Generic Merchant,debit,Home Maintenance,expense,f,Housing,Amex Credit Card,credit_card
1711,2025-09-23,2025,9,September,2,Tuesday  ,24.45,Purchase at Pizza Hut,Pizza Hut,debit,Restaurants,expense,f,Food,Primary Checking,checking
1710,2025-09-22,2025,9,September,1,Monday   ,171.49,Purchase at Target,Target,debit,Groceries,expense,t,Food,Amex Credit Card,credit_card
1705,2025-09-22,2025,9,September,1,Monday   ,61.09,Purchase at Sushi Palace,Sushi Palace,debit,Restaurants,expense,f,Food,Chase Credit Card,credit_card
1706,2025-09-22,2025,9,September,1,Monday   ,64.07,Purchase at Shell,Shell,debit,Gas/Fuel,expense,t,Transportation,Amex Credit Card,credit_card
1707,2025-09-22,2025,9,September,1,Monday   ,38.89,Purchase at Olive Garden,Olive Garden,debit,Restaurants,expense,f,Food,Chase Credit Card,credit_card
1708,2025-09-22,2025,9,September,1,Monday   ,155.47,Purchase at Safeway,Safeway,debit,Groceries,expense,t,Food,Primary Checking,checking
1709,2025-09-22,2025,9,September,1,Monday   ,181.89,Purchase at Internet Provider,Internet Provider,debit,Utilities,expense,t,Housing,Chase Credit Card,credit_card
1697,2025-09-21,2025,9,September,0,Sunday   ,60.60,Purchase at Local Bistro,Local Bistro,debit,Restaurants,expense,f,Food,Amex Credit Card,credit_card
1703,2025-09-21,2025,9,September,0,Sunday   ,126.19,Purchase at Generic Merchant,Generic Merchant,debit,Shopping,expense,f,Shopping,Chase Credit Card,credit_card
1702,2025-09-21,2025,9,September,0,Sunday   ,112.82,Purchase at Target,Target,debit,Groceries,expense,t,Food,Amex Credit Card,credit_card
1701,2025-09-21,2025,9,September,0,Sunday   ,67.86,Purchase at Sushi Palace,Sushi Palace,debit,Restaurants,expense,f,Food,Primary Checking,checking
1700,2025-09-21,2025,9,September,0,Sunday   ,197.62,Purchase at Generic Merchant,Generic Merchant,debit,Medical,expense,t,Healthcare,Amex Credit Card,credit_card
1699,2025-09-21,2025,9,September,0,Sunday   ,66.96,Purchase at Generic Merchant,Generic Merchant,debit,Home Maintenance,expense,f,Housing,Primary Checking,checking
1698,2025-09-21,2025,9,September,0,Sunday   ,61.62,Purchase at Sushi Palace,Sushi Palace,debit,Restaurants,expense,f,Food,Primary Checking,checking
1704,2025-09-21,2025,9,September,0,Sunday   ,14.06,Purchase at Generic Merchant,Generic Merchant,debit,Entertainment,expense,f,Entertainment,Amex Credit Card,credit_card
1695,2025-09-20,2025,9,September,6,Saturday ,170.92,Purchase at Trader Joes,Trader Joes,debit,Groceries,expense,t,Food,Amex Credit Card,credit_card
1696,2025-09-20,2025,9,September,6,Saturday ,51.76,Purchase at Chipotle,Chipotle,debit,Restaurants,expense,f,Food,Amex Credit Card,credit_card
1694,2025-09-19,2025,9,September,5,Friday   ,41.25,Purchase at Generic Merchant,Generic Merchant,debit,Home Maintenance,expense,f,Housing,Chase Credit Card,credit_card
1693,2025-09-19,2025,9,September,5,Friday   ,93.13,Purchase at Generic Merchant,Generic Merchant,debit,Home Maintenance,expense,f,Housing,Amex Credit Card,credit_card
1692,2025-09-19,2025,9,September,5,Friday   ,48.34,Purchase at Shell,Shell,debit,Gas/Fuel,expense,t,Transportation,Amex Credit Card,credit_card
1691,2025-09-19,2025,9,September,5,Friday   ,140.16,Purchase at Water District,Water District,debit,Utilities,expense,t,Housing,Amex Credit Card,credit_card
1690,2025-09-18,2025,9,September,4,Thursday ,54.01,Purchase at Safeway,Safeway,debit,Groceries,expense,t,Food,Chase Credit Card,credit_card
1689,2025-09-18,2025,9,September,4,Thursday ,20.00,Purchase at Generic Merchant,Generic Merchant,debit,Home Maintenance,expense,f,Housing,Amex Credit Card,credit_card
1685,2025-09-17,2025,9,September,3,Wednesday,14.49,Purchase at Generic Merchant,Generic Merchant,debit,Car Maintenance,expense,f,Transportation,Chase Credit Card,credit_card
1688,2025-09-17,2025,9,September,3,Wednesday,76.32,Purchase at Generic Merchant,Generic Merchant,debit,Car Maintenance,expense,f,Transportation,Amex Credit Card,credit_card
1687,2025-09-17,2025,9,September,3,Wednesday,91.45,Purchase at Generic Merchant,Generic Merchant,debit,Shopping,expense,f,Shopping,Chase Credit Card,credit_card
1686,2025-09-17,2025,9,September,3,Wednesday,4.79,Purchase at Peets Coffee,Peets Coffee,debit,Coffee Shops,expense,f,Food,Chase Credit Card,credit_card
1682,2025-09-16,2025,9,September,2,Tuesday  ,81.71,Purchase at PG&E,PG&E,debit,Utilities,expense,t,Housing,Amex Credit Card,credit_card
1683,2025-09-16,2025,9,September,2,Tuesday  ,19.19,Purchase at Pizza Hut,Pizza Hut,debit,Restaurants,expense,f,Food,Chase Credit Card,credit_card
1684,2025-09-16,2025,9,September,2,Tuesday  ,9.34,Purchase at Dunkin,Dunkin,debit,Coffee Shops,expense,f,Food,Chase Credit Card,credit_card
1680,2025-09-16,2025,9,September,2,Tuesday  ,117.83,Purchase at Safeway,Safeway,debit,Groceries,expense,t,Food,Chase Credit Card,credit_card
1681,2025-09-16,2025,9,September,2,Tuesday  ,137.89,Purchase at Generic Merchant,Generic Merchant,debit,Shopping,expense,f,Shopping,Amex Credit Card,credit_card
1676,2025-09-15,2025,9,September,1,Monday   ,9.62,Purchase at Dunkin,Dunkin,debit,Coffee Shops,expense,f,Food,Chase Credit Card,credit_card
1674,2025-09-15,2025,9,September,1,Monday   ,66.35,Purchase at Shell,Shell,debit,Gas/Fuel,expense,t,Transportation,Chase Credit Card,credit_card
1679,2025-09-15,2025,9,September,1,Monday   ,11.77,Purchase at Starbucks,Starbucks,debit,Coffee Shops,expense,f,Food,Amex Credit Card,credit_card
1678,2025-09-15,2025,9,September,1,Monday   ,224.00,Purchase at Generic Merchant,Generic Merchant,debit,Medical,expense,t,Healthcare,Chase Credit Card,credit_card
1677,2025-09-15,2025,9,September,1,Monday   ,54.82,Purchase at Generic Merchant,Generic Merchant,debit,Entertainment,expense,f,Entertainment,Chase Credit Card,credit_card
1675,2025-09-15,2025,9,September,1,Monday   ,35.34,Purchase at Sushi Palace,Sushi Palace,debit,Restaurants,expense,f,Food,Amex Credit Card,credit_card
1672,2025-09-14,2025,9,September,0,Sunday   ,58.29,Purchase at Costco,Costco,debit,Groceries,expense,t,Food,Chase Credit Card,credit_card
1673,2025-09-14,2025,9,September,0,Sunday   ,38.30,Purchase at Arco,Arco,debit,Gas/Fuel,expense,t,Transportation,Amex Credit Card,credit_card
1670,2025-09-13,2025,9,September,6,Saturday ,6.39,Purchase at Starbucks,Starbucks,debit,Coffee Shops,expense,f,Food,Amex Credit Card,credit_card
1671,2025-09-13,2025,9,September,6,Saturday ,55.28,Purchase at Sushi Palace,Sushi Palace,debit,Restaurants,expense,f,Food,Chase Credit Card,credit_card
1665,2025-09-12,2025,9,September,5,Friday   ,25.26,Purchase at Generic Merchant,Generic Merchant,debit,Entertainment,expense,f,Entertainment,Amex Credit Card,credit_card
1664,2025-09-12,2025,9,September,5,Friday   ,9.55,Purchase at Dunkin,Dunkin,debit,Coffee Shops,expense,f,Food,Primary Checking,checking
1667,2025-09-12,2025,9,September,5,Friday   ,53.19,Purchase at Arco,Arco,debit,Gas/Fuel,expense,t,Transportation,Primary Checking,checking
1668,2025-09-12,2025,9,September,5,Friday   ,121.25,Purchase at Water District,Water District,debit,Utilities,expense,t,Housing,Primary Checking,checking
1669,2025-09-12,2025,9,September,5,Friday   ,285.40,Purchase at Generic Merchant,Generic Merchant,debit,Medical,expense,t,Healthcare,Chase Credit Card,credit_card
1663,2025-09-12,2025,9,September,5,Friday   ,138.41,Purchase at Whole Foods,Whole Foods,debit,Groceries,expense,t,Food,Amex Credit Card,credit_card
1666,2025-09-12,2025,9,September,5,Friday   ,162.27,Purchase at Trader Joes,Trader Joes,debit,Groceries,expense,t,Food,Amex Credit Card,credit_card
1662,2025-09-11,2025,9,September,4,Thursday ,11.37,Purchase at Peets Coffee,Peets Coffee,debit,Coffee Shops,expense,f,Food,Chase Credit Card,credit_card
1661,2025-09-11,2025,9,September,4,Thursday ,22.36,Purchase at Chipotle,Chipotle,debit,Restaurants,expense,f,Food,Amex Credit Card,credit_card
1659,2025-09-10,2025,9,September,3,Wednesday,30.12,Purchase at Pizza Hut,Pizza Hut,debit,Restaurants,expense,f,Food,Chase Credit Card,credit_card
1660,2025-09-10,2025,9,September,3,Wednesday,157.33,Purchase at Whole Foods,Whole Foods,debit,Groceries,expense,t,Food,Chase Credit Card,credit_card
1658,2025-09-09,2025,9,September,2,Tuesday  ,245.90,Purchase at Generic Merchant,Generic Merchant,debit,Medical,expense,t,Healthcare,Amex Credit Card,credit_card
1657,2025-09-09,2025,9,September,2,Tuesday  ,42.88,Purchase at Costco,Costco,debit,Groceries,expense,t,Food,Chase Credit Card,credit_card
1656,2025-09-09,2025,9,September,2,Tuesday  ,158.15,Purchase at Water District,Water District,debit,Utilities,expense,t,Housing,Chase Credit Card,credit_card
1654,2025-09-08,2025,9,September,1,Monday   ,90.86,Purchase at Costco,Costco,debit,Groceries,expense,t,Food,Chase Credit Card,credit_card
1655,2025-09-08,2025,9,September,1,Monday   ,81.31,Purchase at Generic Merchant,Generic Merchant,debit,Personal Care,expense,f,Personal,Chase Credit Card,credit_card
1650,2025-09-07,2025,9,September,0,Sunday   ,44.13,Purchase at 76 Station,76 Station,debit,Gas/Fuel,expense,t,Transportation,Chase Credit Card,credit_card
1649,2025-09-07,2025,9,September,0,Sunday   ,43.17,Purchase at Chipotle,Chipotle,debit,Restaurants,expense,f,Food,Amex Credit Card,credit_card
1648,2025-09-07,2025,9,September,0,Sunday   ,67.26,Purchase at Local Bistro,Local Bistro,debit,Restaurants,expense,f,Food,Amex Credit Card,credit_card
1647,2025-09-07,2025,9,September,0,Sunday   ,81.58,Purchase at Generic Merchant,Generic Merchant,debit,Car Maintenance,expense,f,Transportation,Primary Checking,checking
1652,2025-09-07,2025,9,September,0,Sunday   ,50.73,Purchase at Generic Merchant,Generic Merchant,debit,Home Maintenance,expense,f,Housing,Amex Credit Card,credit_card
1653,2025-09-07,2025,9,September,0,Sunday   ,57.23,Purchase at Pizza Hut,Pizza Hut,debit,Restaurants,expense,f,Food,Chase Credit Card,credit_card
1651,2025-09-07,2025,9,September,0,Sunday   ,83.64,Purchase at Costco,Costco,debit,Groceries,expense,t,Food,Chase Credit Card,credit_card
1643,2025-09-06,2025,9,September,6,Saturday ,28.45,Purchase at Generic Merchant,Generic Merchant,debit,Personal Care,expense,f,Personal,Primary Checking,checking
1639,2025-09-06,2025,9,September,6,Saturday ,158.23,Purchase at Generic Merchant,Generic Merchant,debit,Medical,expense,t,Healthcare,Chase Credit Card,credit_card
1640,2025-09-06,2025,9,September,6,Saturday ,90.58,Purchase at Trader Joes,Trader Joes,debit,Groceries,expense,t,Food,Primary Checking,checking
1641,2025-09-06,2025,9,September,6,Saturday ,147.29,Purchase at Costco,Costco,debit,Groceries,expense,t,Food,Primary Checking,checking
1644,2025-09-06,2025,9,September,6,Saturday ,94.01,Purchase at Safeway,Safeway,debit,Groceries,expense,t,Food,Primary Checking,checking
1642,2025-09-06,2025,9,September,6,Saturday ,90.10,Purchase at Generic Merchant,Generic Merchant,debit,Personal Care,expense,f,Personal,Chase Credit Card,credit_card
1646,2025-09-06,2025,9,September,6,Saturday ,17.86,Purchase at Pizza Hut,Pizza Hut,debit,Restaurants,expense,f,Food,Primary Checking,checking
1645,2025-09-06,2025,9,September,6,Saturday ,70.82,Purchase at Generic Merchant,Generic Merchant,debit,Home Maintenance,expense,f,Housing,Chase Credit Card,credit_card
1638,2025-09-05,2025,9,September,5,Friday   ,45.17,Purchase at Generic Merchant,Generic Merchant,debit,Personal Care,expense,f,Personal,Chase Credit Card,credit_card
1637,2025-09-05,2025,9,September,5,Friday   ,175.01,Purchase at Water District,Water District,debit,Utilities,expense,t,Housing,Amex Credit Card,credit_card
1630,2025-09-04,2025,9,September,4,Thursday ,155.59,Purchase at Safeway,Safeway,debit,Groceries,expense,t,Food,Amex Credit Card,credit_card
1634,2025-09-04,2025,9,September,4,Thursday ,83.38,Purchase at Generic Merchant,Generic Merchant,debit,Home Maintenance,expense,f,Housing,Chase Credit Card,credit_card
1633,2025-09-04,2025,9,September,4,Thursday ,73.51,Purchase at Trader Joes,Trader Joes,debit,Groceries,expense,t,Food,Chase Credit Card,credit_card
1632,2025-09-04,2025,9,September,4,Thursday ,50.08,Purchase at Generic Merchant,Generic Merchant,debit,Car Maintenance,expense,f,Transportation,Primary Checking,checking
1631,2025-09-04,2025,9,September,4,Thursday ,167.16,Purchase at Target,Target,debit,Groceries,expense,t,Food,Chase Credit Card,credit_card
1629,2025-09-04,2025,9,September,4,Thursday ,12.95,Purchase at Generic Merchant,Generic Merchant,debit,Personal Care,expense,f,Personal,Amex Credit Card,credit_card
1636,2025-09-04,2025,9,September,4,Thursday ,61.21,Purchase at Arco,Arco,debit,Gas/Fuel,expense,t,Transportation,Amex Credit Card,credit_card
1635,2025-09-04,2025,9,September,4,Thursday ,43.44,Purchase at Generic Merchant,Generic Merchant,debit,Personal Care,expense,f,Personal,Primary Checking,checking
1628,2025-09-03,2025,9,September,3,Wednesday,46.73,Purchase at Generic Merchant,Generic Merchant,debit,Medical,expense,t,Healthcare,Chase Credit Card,credit_card
1627,2025-09-03,2025,9,September,3,Wednesday,43.49,Purchase at Generic Merchant,Generic Merchant,debit,Entertainment,expense,f,Entertainment,Chase Credit Card,credit_card
1626,2025-09-03,2025,9,September,3,Wednesday,92.94,Purchase at Generic Merchant,Generic Merchant,debit,Medical,expense,t,Healthcare,Chase Credit Card,credit_card
1625,2025-09-03,2025,9,September,3,Wednesday,193.27,Purchase at Generic Merchant,Generic Merchant,debit,Shopping,expense,f,Shopping,Amex Credit Card,credit_card
1624,2025-09-03,2025,9,September,3,Wednesday,51.68,Purchase at Shell,Shell,debit,Gas/Fuel,expense,t,Transportation,Amex Credit Card,credit_card
1620,2025-09-02,2025,9,September,2,Tuesday  ,63.00,Purchase at Generic Merchant,Generic Merchant,debit,Shopping,expense,f,Shopping,Chase Credit Card,credit_card
1623,2025-09-02,2025,9,September,2,Tuesday  ,144.35,Purchase at Safeway,Safeway,debit,Groceries,expense,t,Food,Primary Checking,checking
1622,2025-09-02,2025,9,September,2,Tuesday  ,60.09,Purchase at Chevron,Chevron,debit,Gas/Fuel,expense,t,Transportation,Primary Checking,checking
1621,2025-09-02,2025,9,September,2,Tuesday  ,83.39,Purchase at Costco,Costco,debit,Groceries,expense,t,Food,Amex Credit Card,credit_card
1619,2025-09-02,2025,9,September,2,Tuesday  ,70.02,Purchase at Shell,Shell,debit,Gas/Fuel,expense,t,Transportation,Amex Credit Card,credit_card
1618,2025-09-02,2025,9,September,2,Tuesday  ,109.79,Purchase at Trader Joes,Trader Joes,debit,Groceries,expense,t,Food,Chase Credit Card,credit_card
1617,2025-09-02,2025,9,September,2,Tuesday  ,134.17,Purchase at Costco,Costco,debit,Groceries,expense,t,Food,Amex Credit Card,credit_card
1616,2025-09-02,2025,9,September,2,Tuesday  ,198.20,Purchase at Generic Merchant,Generic Merchant,debit,Shopping,expense,f,Shopping,Amex Credit Card,credit_card
1613,2025-09-01,2025,9,September,1,Monday   ,134.45,Purchase at Target,Target,debit,Groceries,expense,t,Food,Chase Credit Card,credit_card
1612,2025-09-01,2025,9,September,1,Monday   ,202.26,Purchase at Generic Merchant,Generic Merchant,debit,Shopping,expense,f,Shopping,Amex Credit Card,credit_card
1611,2025-09-01,2025,9,September,1,Monday   ,37.33,Purchase at Olive Garden,Olive Garden,debit,Restaurants,expense,f,Food,Primary Checking,checking
1610,2025-09-01,2025,9,September,1,Monday   ,36.21,Purchase at Generic Merchant,Generic Merchant,debit,Entertainment,expense,f,Entertainment,Chase Credit Card,credit_card
11,2025-09-01,2025,9,September,1,Monday   ,5174.76,Monthly Salary Deposit,Employer Inc,credit,Salary,income,f,Salary,Primary Checking,checking
1615,2025-09-01,2025,9,September,1,Monday   ,47.27,Purchase at Generic Merchant,Generic Merchant,debit,Entertainment,expense,f,Entertainment,Amex Credit Card,credit_card
1614,2025-09-01,2025,9,September,1,Monday   ,31.89,Purchase at Generic Merchant,Generic Merchant,debit,Entertainment,expense,f,Entertainment,Amex Credit Card,credit_card
1608,2025-08-31,2025,8,August   ,0,Sunday   ,4.76,Purchase at Local Cafe,Local Cafe,debit,Coffee Shops,expense,f,Food,Primary Checking,checking
1609,2025-08-31,2025,8,August   ,0,Sunday   ,131.41,Purchase at Whole Foods,Whole Foods,debit,Groceries,expense,t,Food,Chase Credit Card,credit_card
1607,2025-08-31,2025,8,August   ,0,Sunday   ,37.70,Purchase at Generic Merchant,Generic Merchant,debit,Medical,expense,t,Healthcare,Chase Credit Card,credit_card
1606,2025-08-31,2025,8,August   ,0,Sunday   ,67.85,Purchase at Sushi Palace,Sushi Palace,debit,Restaurants,expense,f,Food,Amex Credit Card,credit_card
1603,2025-08-30,2025,8,August   ,6,Saturday ,28.94,Purchase at Sushi Palace,Sushi Palace,debit,Restaurants,expense,f,Food,Primary Checking,checking
1605,2025-08-30,2025,8,August   ,6,Saturday ,160.52,Purchase at Safeway,Safeway,debit,Groceries,expense,t,Food,Primary Checking,checking
1604,2025-08-30,2025,8,August   ,6,Saturday ,70.07,Purchase at Sushi Palace,Sushi Palace,debit,Restaurants,expense,f,Food,Amex Credit Card,credit_card
1597,2025-08-29,2025,8,August   ,5,Friday   ,39.46,Purchase at Generic Merchant,Generic Merchant,debit,Entertainment,expense,f,Entertainment,Amex Credit Card,credit_card
1596,2025-08-29,2025,8,August   ,5,Friday   ,18.78,Purchase at Generic Merchant,Generic Merchant,debit,Entertainment,expense,f,Entertainment,Chase Credit Card,credit_card
1602,2025-08-29,2025,8,August   ,5,Friday   ,46.39,Purchase at Costco,Costco,debit,Groceries,expense,t,Food,Chase Credit Card,credit_card
1600,2025-08-29,2025,8,August   ,5,Friday   ,237.98,Purchase at Generic Merchant,Generic Merchant,debit,Shopping,expense,f,Shopping,Amex Credit Card,credit_card
1601,2025-08-29,2025,8,August   ,5,Friday   ,129.36,Purchase at Generic Merchant,Generic Merchant,debit,Medical,expense,t,Healthcare,Amex Credit Card,credit_card
1599,2025-08-29,2025,8,August   ,5,Friday   ,44.26,Purchase at Chipotle,Chipotle,debit,Restaurants,expense,f,Food,Chase Credit Card,credit_card
1598,2025-08-29,2025,8,August   ,5,Friday   ,6.83,Purchase at Peets Coffee,Peets Coffee,debit,Coffee Shops,expense,f,Food,Primary Checking,checking
1593,2025-08-28,2025,8,August   ,4,Thursday ,47.93,Purchase at Generic Merchant,Generic Merchant,debit,Personal Care,expense,f,Personal,Chase Credit Card,credit_card
1588,2025-08-28,2025,8,August   ,4,Thursday ,12.79,Purchase at Generic Merchant,Generic Merchant,debit,Car Maintenance,expense,f,Transportation,Amex Credit Card,credit_card
1589,2025-08-28,2025,8,August   ,4,Thursday ,67.64,Purchase at Safeway,Safeway,debit,Groceries,expense,t,Food,Amex Credit Card,credit_card
1590,2025-08-28,2025,8,August   ,4,Thursday ,144.45,Purchase at Whole Foods,Whole Foods,debit,Groceries,expense,t,Food,Amex Credit Card,credit_card
1591,2025-08-28,2025,8,August   ,4,Thursday ,58.34,Purchase at Sushi Palace,Sushi Palace,debit,Restaurants,expense,f,Food,Chase Credit Card,credit_card
1595,2025-08-28,2025,8,August   ,4,Thursday ,55.02,Purchase at Shell,Shell,debit,Gas/Fuel,expense,t,Transportation,Amex Credit Card,credit_card
1594,2025-08-28,2025,8,August   ,4,Thursday ,52.02,Purchase at Generic Merchant,Generic Merchant,debit,Entertainment,expense,f,Entertainment,Amex Credit Card,credit_card
1592,2025-08-28,2025,8,August   ,4,Thursday ,9.71,Purchase at Starbucks,Starbucks,debit,Coffee Shops,expense,f,Food,Chase Credit Card,credit_card
1583,2025-08-27,2025,8,August   ,3,Wednesday,10.18,Purchase at Dunkin,Dunkin,debit,Coffee Shops,expense,f,Food,Primary Checking,checking
1587,2025-08-27,2025,8,August   ,3,Wednesday,11.41,Purchase at Starbucks,Starbucks,debit,Coffee Shops,expense,f,Food,Chase Credit Card,credit_card
1586,2025-08-27,2025,8,August   ,3,Wednesday,8.52,Purchase at Dunkin,Dunkin,debit,Coffee Shops,expense,f,Food,Amex Credit Card,credit_card
1585,2025-08-27,2025,8,August   ,3,Wednesday,49.92,Purchase at Generic Merchant,Generic Merchant,debit,Entertainment,expense,f,Entertainment,Primary Checking,checking
1584,2025-08-27,2025,8,August   ,3,Wednesday,83.73,Purchase at Safeway,Safeway,debit,Groceries,expense,t,Food,Primary Checking,checking
